claim_id,policy_period_id,opened_date,status,severity_tier_summary,litigation_flag,rep_flag,complaint_flag,claimant_name,insured_name,coverage_posture,reserve_decision_committed,liability_apportionment_committed,recovery_pursuit_decision_committed,recovery_pursuit_decision
CLM-001,PP-FIXTURE-2026,2026-04-14,open,serious,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-002,PP-FIXTURE-2026,2026-04-14,open,standard,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-003,PP-FIXTURE-2026,2026-04-14,open,standard,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-004,PP-FIXTURE-2026,2026-04-14,open,serious,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-005,PP-FIXTURE-2026,2026-04-14,open,standard,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-006,PP-FIXTURE-2026,2026-04-14,open,standard,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-007,PP-FIXTURE-2026,2026-01-29,open,catastrophic,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-008,PP-FIXTURE-2026,2026-04-14,open,serious,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-009,PP-FIXTURE-2026,2026-04-14,open,serious,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-010,PP-FIXTURE-2026,2026-04-14,open,standard,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-011,PP-FIXTURE-2026,2026-04-14,open,standard,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-012,PP-FIXTURE-2026,2026-04-14,open,serious,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-013,PP-FIXTURE-2026,2026-04-14,open,standard,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-014,PP-FIXTURE-2026,2026-04-14,open,serious,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-015,PP-FIXTURE-2026,2026-04-14,open,serious,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-016,PP-FIXTURE-2026,2026-04-14,open,serious,true,true,false,,,under_investigation,false,false,false,uncommitted
CLM-017,PP-FIXTURE-2026,2026-04-14,open,serious,true,true,false,,,under_investigation,false,false,false,uncommitted
CLM-018,PP-FIXTURE-2026,2026-04-14,open,standard,false,true,true,,,under_investigation,false,false,false,uncommitted
CLM-019,PP-FIXTURE-2026,2026-04-14,open,minor,false,false,false,,,under_investigation,false,false,false,uncommitted
CLM-020,PP-FIXTURE-2026,2026-04-14,open,minor,false,false,false,,,under_investigation,false,false,false,uncommitted
